Trang|Mô tả trang|Key|Tiếng Anh (tham khảo)|Tiếng Việt hiện tại|Tiếng Việt mới (CHỈNH SỬA CỘT NÀY)
--- Chung (Mọi trang) ---|||||
Chung (Mọi trang)|Các nút và thông báo chung: Gửi, Hủy, Lỗi...|common.loading|Loading...|Đang tải nè...|Đang tải nè...
Chung (Mọi trang)|Các nút và thông báo chung: Gửi, Hủy, Lỗi...|common.submit|Submit|Gửi|Gửi
Chung (Mọi trang)|Các nút và thông báo chung: Gửi, Hủy, Lỗi...|common.cancel|Cancel|Thôi|Thôi
Chung (Mọi trang)|Các nút và thông báo chung: Gửi, Hủy, Lỗi...|common.error|Something went wrong|Có biến rồi (Lỗi)|Có biến rồi (Lỗi)
Chung (Mọi trang)|Các nút và thông báo chung: Gửi, Hủy, Lỗi...|common.required|Required|Cái này bắt buộc nha|Cái này bắt buộc nha
--- Thanh điều hướng (Mọi trang) ---|||||
Thanh điều hướng (Mọi trang)|Menu trên cùng, logo, nút đăng nhập — hiển thị trên mọi trang|nav.brand|ABG Alumni Connect|ABG Alumni Connect|ABG Alumni Connect
Thanh điều hướng (Mọi trang)|Menu trên cùng, logo, nút đăng nhập — hiển thị trên mọi trang|nav.join|Join|Nhập hội|Nhập hội
Thanh điều hướng (Mọi trang)|Menu trên cùng, logo, nút đăng nhập — hiển thị trên mọi trang|nav.findConnection|Find Connection|Kiếm kèo kết nối|Kiếm kèo kết nối
Thanh điều hướng (Mọi trang)|Menu trên cùng, logo, nút đăng nhập — hiển thị trên mọi trang|nav.profile|Profile|Hồ sơ|Hồ sơ
Thanh điều hướng (Mọi trang)|Menu trên cùng, logo, nút đăng nhập — hiển thị trên mọi trang|nav.history|History|Lịch sử|Lịch sử
Thanh điều hướng (Mọi trang)|Menu trên cùng, logo, nút đăng nhập — hiển thị trên mọi trang|nav.faq|FAQ|FAQ|FAQ
Thanh điều hướng (Mọi trang)|Menu trên cùng, logo, nút đăng nhập — hiển thị trên mọi trang|nav.payMembership|Pay Membership|Thanh toán hội phí|Thanh toán hội phí
--- Chân trang (Mọi trang) ---|||||
Chân trang (Mọi trang)|Footer với liên kết, bản quyền — hiển thị trên mọi trang|footer.community|ABG Alumni Community|Hội anh chị em ABG Alumni|Hội anh chị em ABG Alumni
Chân trang (Mọi trang)|Footer với liên kết, bản quyền — hiển thị trên mọi trang|footer.terms|Terms of Service|Điều khoản dịch vụ|Điều khoản dịch vụ
Chân trang (Mọi trang)|Footer với liên kết, bản quyền — hiển thị trên mọi trang|footer.privacy|Privacy Policy|Chính sách quyền riêng tư|Chính sách quyền riêng tư
Chân trang (Mọi trang)|Footer với liên kết, bản quyền — hiển thị trên mọi trang|footer.dataPolicy|Data Protection Policy|Chính sách bảo vệ dữ liệu|Chính sách bảo vệ dữ liệu
Chân trang (Mọi trang)|Footer với liên kết, bản quyền — hiển thị trên mọi trang|footer.address|Read Station, Huynh Thuc Khang, Ha Noi|Read Station, Huỳnh Thúc Kháng, Hà Nội|Read Station, Huỳnh Thúc Kháng, Hà Nội
Chân trang (Mọi trang)|Footer với liên kết, bản quyền — hiển thị trên mọi trang|footer.description|A private network for the ABG community designed for connection, discovery, and growth.|Mạng lưới riêng tư cho cộng đồng ABG, thiết kế để kết nối, khám phá và phát triển.|Mạng lưới riêng tư cho cộng đồng ABG, thiết kế để kết nối, khám phá và phát triển.
Chân trang (Mọi trang)|Footer với liên kết, bản quyền — hiển thị trên mọi trang|footer.platform|Platform|Nền Tảng|Nền Tảng
Chân trang (Mọi trang)|Footer với liên kết, bản quyền — hiển thị trên mọi trang|footer.directory|Directory|Danh bạ|Danh bạ
Chân trang (Mọi trang)|Footer với liên kết, bản quyền — hiển thị trên mọi trang|footer.newsFeed|News Feed|Tin tức|Tin tức
Chân trang (Mọi trang)|Footer với liên kết, bản quyền — hiển thị trên mọi trang|footer.connections|Connections|Kết nối|Kết nối
Chân trang (Mọi trang)|Footer với liên kết, bản quyền — hiển thị trên mọi trang|footer.company|Company|Công Ty|Công Ty
Chân trang (Mọi trang)|Footer với liên kết, bản quyền — hiển thị trên mọi trang|footer.about|About ABG|Về ABG|Về ABG
Chân trang (Mọi trang)|Footer với liên kết, bản quyền — hiển thị trên mọi trang|footer.faqLink|FAQ|Câu hỏi thường gặp|Câu hỏi thường gặp
Chân trang (Mọi trang)|Footer với liên kết, bản quyền — hiển thị trên mọi trang|footer.stayConnected|Stay Connected|Giữ Liên Lạc|Giữ Liên Lạc
